id,title,description,category,source,synthetic,template_family,generator_version
S000001,Necesito instrucciones para completar el proceso,Quisiera saber cómo actualizar mis datos dentro de la plataforma. El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,como_usar,v0.1
S000002,Solicito un reembolso,Necesito devolver una licencia no utilizada porque se realizó por error.,pagos_facturacion,synthetic_generator,true,reembolso,v0.1
S000003,No llega el correo de recuperación,"Solicité recuperar la contraseña varias veces, pero el mensaje no llega a spam ni correo principal. Necesito continuar con el proceso cuanto antes.",acceso_autenticacion,synthetic_generator,true,recuperacion_no_recibida,v0.1
S000004,Conectar la plataforma con otro servicio,Sería útil enviar información automáticamente a Microsoft Teams. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,integracion_nueva,v0.1
S000005,La página queda en blanco,"Puedo navegar por el menú, pero la sección de documentos no carga su contenido desde mi laptop. Necesito continuar con el proceso cuanto antes.",error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1
S000006,Cobro posterior a la cancelación,"Cancelé el servicio desde que cambié la configuración, pero hoy apareció un nuevo cargo. Necesito continuar con el proceso cuanto antes.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1
S000007,Agregar un nuevo método de pago,Solicito incorporar débito automático como alternativa de pago.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000008,El sistema se cierra al editar,"Cada vez que intento abrir un reporte, la aplicación se cierra inesperadamente.",error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1
S000009,Falló la conexión con otro servicio,Los datos de el sistema contable ya no se sincronizan aunque la conexión sigue habilitada. Ya intenté actualizar la página y volver a probar.,error_tecnico,synthetic_generator,true,integracion_fallida,v0.1
S000010,Necesito información sobre las condiciones,Necesito información sobre las condiciones aplicables a privacidad. Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1
S000011,Agregar un nuevo formato de exportación,Sería útil agregar Google Sheets a los formatos disponibles de exportación. Esto sucede en más de un dispositivo.,solicitud_funcionalidad,synthetic_generator,true,nueva_exportacion,v0.1
S000012,¿Qué opciones acepta la plataforma?,Quiero saber qué tipos de archivo acepta actualmente la plataforma.,consulta_general,synthetic_generator,true,metodos_disponibles,v0.1
S000013,El sistema está caído,La plataforma completa dejó de responder desde la última actualización.,error_tecnico,synthetic_generator,true,servicio_caido,v0.1
S000014,Me cobraron dos veces,"Solo confirmé el pago una vez, pero se registraron varios cobros idénticos. Antes funcionaba con normalidad.",pagos_facturacion,synthetic_generator,true,cobro_duplicado,v0.1
S000015,La devolución todavía no llega,"El reembolso fue aprobado hace una semana, pero el dinero no aparece en mi cuenta. Esto sucede en más de un dispositivo.",pagos_facturacion,synthetic_generator,true,reembolso,v0.1
S000016,Quiero pagar con billetera digital,Sería útil permitir pagos mediante débito automático además de las tarjetas.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1
S000017,La tarjeta no es aceptada,El sistema no acepta una tarjeta de débito aunque tiene fondos y está habilitado para compras. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,pago_rechazado,v0.1
S000018,El comprobante tiene información equivocada,El comprobante fue emitido con datos antiguos y necesito corregir la dirección fiscal. Esto sucede en más de un dispositivo.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1
S000019,La página tarda demasiado,"El panel principal termina cargando, pero demora más de un minuto en mostrar la información. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,carga_lenta,v0.1
S000020,Personalizar la interfaz,"Solicito una opción de modo oscuro, ya que actualmente no está disponible.",solicitud_funcionalidad,synthetic_generator,true,mejora_interfaz,v0.1
S000021,Necesito conocer el horario de ayuda,Quisiera saber si el soporte atiende por la noche. Necesito continuar con el proceso cuanto antes.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1
S000022,Quiero saber si existe esta opción,Quiero confirmar si la plataforma permite la descarga de facturas.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1
S000023,Pausas frecuentes al cambiar de sección,"La aplicación no se cierra, pero deja de responder temporalmente varias veces al día. El problema también fue confirmado por otro usuario.",rendimiento,synthetic_generator,true,congelamiento_temporal,v0.1
S000024,El sistema se cierra al editar,"Puedo entrar normalmente, pero la aplicación falla al confirmar una operación. Antes funcionaba con normalidad.",error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1
S000025,Quiero saber si existe esta opción,Necesito saber dónde se encuentra la descarga de facturas o si todavía no está habilitada. Antes funcionaba con normalidad.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1
S000026,Mi cuenta quedó bloqueada,"La plataforma informa que mi usuario está bloqueado, incluso después de esperar todo el día. El problema también fue confirmado por otro usuario.",acceso_autenticacion,synthetic_generator,true,cuenta_bloqueada,v0.1
S000027,La aplicación falla durante una operación,El sistema deja de responder y se cierra en el navegador al realizar confirmar una operación. Antes funcionaba con normalidad.,error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1
