category,similarity,id_1,family_1,title_1,description_1,id_2,family_2,title_2,description_2
error_tecnico,0.98,S000289,boton_no_responde,El botón no responde,El botón continuar dejó de ejecutar la acción desde la última actualización. El problema también fue confirmado por otro usuario.,S000505,boton_no_responde,El botón no responde,El botón confirmar dejó de ejecutar la acción desde la última actualización. El problema también fue confirmado por otro usuario.
error_tecnico,0.9794,S000189,duplicados,La misma operación se guarda dos veces,"Confirmo la operación una sola vez, pero el sistema genera dos registros iguales.",S000560,duplicados,La misma operación se guarda dos veces,"Confirmo la operación una sola vez, pero el sistema genera varios registros iguales."
pagos_facturacion,0.978,S000120,cobro_duplicado,Aparecen dos cargos por la misma compra,"Solo confirmé el pago una vez, pero se registraron varios cobros idénticos.",S000538,cobro_duplicado,Aparecen dos cargos por la misma compra,"Solo confirmé el pago una vez, pero se registraron dos cobros idénticos."
consulta_general,0.974,S000101,planes_precios,Información sobre los planes,Quiero conocer las diferencias entre el plan básico y el plan profesional. Ya intenté actualizar la página y volver a probar.,S000866,planes_precios,Información sobre los planes,Quiero conocer las diferencias entre el plan básico y el plan empresarial. Ya intenté actualizar la página y volver a probar.
solicitud_funcionalidad,0.9719,S000144,nuevo_login,Agregar inicio de sesión con Google,Solicito que los usuarios puedan ingresar mediante Google además del correo y contraseña.,S000540,nuevo_login,Agregar inicio de sesión con Google,Solicito que los usuarios puedan ingresar mediante Apple además del correo y contraseña.
rendimiento,0.9693,S000166,reporte_lento,Los reportes se generan lentamente,"El reporte se genera correctamente, aunque tarda casi diez minutos en completarse. Necesito continuar con el proceso cuanto antes.",S000891,reporte_lento,Los reportes se generan lentamente,"El reporte se genera correctamente, aunque tarda cinco minutos en completarse. Necesito continuar con el proceso cuanto antes."
pagos_facturacion,0.9683,S000794,factura_no_recibida,Pago aprobado sin documento tributario,"Necesito el comprobante de la suscripción, aunque el sistema todavía no lo genera. El problema también fue confirmado por otro usuario.",S000885,factura_no_recibida,Pago aprobado sin documento tributario,"Necesito el comprobante de la renovación, aunque el sistema todavía no lo genera. El problema también fue confirmado por otro usuario."
pagos_facturacion,0.9673,S000534,pago_rechazado,La tarjeta no es aceptada,El sistema no acepta mi tarjeta de crédito aunque tiene fondos y está habilitado para compras. Antes funcionaba con normalidad.,S000796,pago_rechazado,La tarjeta no es aceptada,El sistema no acepta una tarjeta de débito aunque tiene fondos y está habilitado para compras. Antes funcionaba con normalidad.
rendimiento,0.9651,S000113,busqueda_lenta,Buscar registros toma varios segundos,"Al consultar tickets, la pantalla queda esperando antes de mostrar coincidencias. Esto sucede en más de un dispositivo.",S000126,busqueda_lenta,Buscar registros toma varios segundos,"Al consultar facturas, la pantalla queda esperando antes de mostrar coincidencias. Esto sucede en más de un dispositivo."
rendimiento,0.9645,S000432,reporte_lento,Demora excesiva al procesar reportes,Cada solicitud de reporte permanece procesando durante casi diez minutos antes de finalizar. Esto sucede en más de un dispositivo.,S000663,reporte_lento,Demora excesiva al procesar reportes,Cada solicitud de reporte permanece procesando durante más de quince minutos antes de finalizar. Esto sucede en más de un dispositivo.
rendimiento,0.9586,S000716,reporte_lento,El informe tarda varios minutos,"El reporte se genera correctamente, aunque tarda más de quince minutos en completarse. El problema también fue confirmado por otro usuario.",S000858,reporte_lento,El informe tarda varios minutos,"El reporte se genera correctamente, aunque tarda casi diez minutos en completarse. El problema también fue confirmado por otro usuario."
acceso_autenticacion,0.9563,S000054,cambio_datos_acceso,No puedo entrar después de cambiar mi correo,"El cambio de el nombre de usuario fue confirmado, pero el acceso sigue usando los datos anteriores. Antes funcionaba con normalidad.",S000562,cambio_datos_acceso,No puedo entrar después de cambiar mi correo,"El cambio de el correo fue confirmado, pero el acceso sigue usando los datos anteriores. Antes funcionaba con normalidad."
error_tecnico,0.9562,S000247,datos_no_guardados,La información vuelve a su valor anterior,"La plataforma confirma la actualización, pero al volver a entrar aparecen los datos antiguos.",S000461,datos_no_guardados,La información vuelve a su valor anterior,"La plataforma confirma la actualización, pero al volver a entrar aparecen los valores anteriores."
solicitud_funcionalidad,0.9551,S000035,nuevo_login,Nuevo método de autenticación,Sería útil incorporar autenticación con Apple para facilitar el acceso. El problema también fue confirmado por otro usuario.,S000116,nuevo_login,Nuevo método de autenticación,Sería útil incorporar autenticación con Microsoft para facilitar el acceso. El problema también fue confirmado por otro usuario.
rendimiento,0.9532,S000804,busqueda_lenta,Los resultados aparecen con retraso,"Al consultar tickets, la pantalla queda esperando antes de mostrar coincidencias.",S000847,busqueda_lenta,Los resultados aparecen con retraso,"Al consultar facturas, la pantalla queda esperando antes de mostrar coincidencias."
solicitud_funcionalidad,0.95,S000403,nuevo_login,Agregar inicio de sesión con Google,Necesitamos un nuevo método de inicio de sesión basado en Microsoft. Esto sucede en más de un dispositivo.,S000851,nuevo_login,Agregar inicio de sesión con Google,Necesitamos un nuevo método de inicio de sesión basado en Apple. Esto sucede en más de un dispositivo.
consulta_general,0.9495,S000010,politicas_requisitos,Necesito información sobre las condiciones,Necesito información sobre las condiciones aplicables a privacidad. Esto sucede en más de un dispositivo.,S000199,politicas_requisitos,Necesito información sobre las condiciones,Necesito información sobre las condiciones aplicables a cancelación. Esto sucede en más de un dispositivo.
solicitud_funcionalidad,0.9495,S000495,filtros_avanzados,Agregar filtros avanzados,Solicito una opción para combinar varios criterios al consultar usuarios.,S000569,filtros_avanzados,Agregar filtros avanzados,Solicito una opción para combinar varios criterios al consultar facturas.
solicitud_funcionalidad,0.9484,S000132,nuevo_login,Necesitamos acceso con Microsoft,Sería útil incorporar autenticación con Google para facilitar el acceso.,S000565,nuevo_login,Necesitamos acceso con Microsoft,Sería útil incorporar autenticación con Microsoft para facilitar el acceso.
pagos_facturacion,0.9466,S000190,reembolso,Problema con el reintegro,"El reembolso fue aprobado hace una semana, pero el dinero no aparece en mi cuenta. Antes funcionaba con normalidad.",S000874,reembolso,Problema con el reintegro,"El reembolso fue aprobado hace tres días, pero el dinero no aparece en mi cuenta. Antes funcionaba con normalidad."
error_tecnico,0.9458,S000358,duplicados,Se crean registros duplicados,La plataforma duplica el ticket sin que vuelva a enviar el formulario.,S000848,duplicados,Se crean registros duplicados,La plataforma duplica la solicitud sin que vuelva a enviar el formulario.
rendimiento,0.9456,S000076,carga_lenta,La página tarda demasiado,"Desde desde la semana pasada, El dashboard tarda mucho más de lo habitual. El problema también fue confirmado por otro usuario.",S000476,carga_lenta,La página tarda demasiado,"Desde desde ayer, El dashboard tarda mucho más de lo habitual. El problema también fue confirmado por otro usuario."
