id,title,description,category,source,synthetic,template_family,generator_version,split
S000001,Necesito instrucciones para completar el proceso,Quisiera saber cómo actualizar mis datos dentro de la plataforma. El problema también fue confirmado por otro usuario.,consulta_general,synthetic_generator,true,como_usar,v0.1,train
S000004,Conectar la plataforma con otro servicio,Sería útil enviar información automáticamente a Microsoft Teams. Necesito continuar con el proceso cuanto antes.,solicitud_funcionalidad,synthetic_generator,true,integracion_nueva,v0.1,train
S000005,La página queda en blanco,"Puedo navegar por el menú, pero la sección de documentos no carga su contenido desde mi laptop. Necesito continuar con el proceso cuanto antes.",error_tecnico,synthetic_generator,true,pantalla_blanca,v0.1,train
S000006,Cobro posterior a la cancelación,"Cancelé el servicio desde que cambié la configuración, pero hoy apareció un nuevo cargo. Necesito continuar con el proceso cuanto antes.",pagos_facturacion,synthetic_generator,true,suscripcion_cancelada,v0.1,train
S000007,Agregar un nuevo método de pago,Solicito incorporar débito automático como alternativa de pago.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000008,El sistema se cierra al editar,"Cada vez que intento abrir un reporte, la aplicación se cierra inesperadamente.",error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1,train
S000010,Necesito información sobre las condiciones,Necesito información sobre las condiciones aplicables a privacidad. Esto sucede en más de un dispositivo.,consulta_general,synthetic_generator,true,politicas_requisitos,v0.1,train
S000011,Agregar un nuevo formato de exportación,Sería útil agregar Google Sheets a los formatos disponibles de exportación. Esto sucede en más de un dispositivo.,solicitud_funcionalidad,synthetic_generator,true,nueva_exportacion,v0.1,train
S000013,El sistema está caído,La plataforma completa dejó de responder desde la última actualización.,error_tecnico,synthetic_generator,true,servicio_caido,v0.1,train
S000016,Quiero pagar con billetera digital,Sería útil permitir pagos mediante débito automático además de las tarjetas.,solicitud_funcionalidad,synthetic_generator,true,nuevo_pago,v0.1,train
S000017,La tarjeta no es aceptada,El sistema no acepta una tarjeta de débito aunque tiene fondos y está habilitado para compras. El problema también fue confirmado por otro usuario.,pagos_facturacion,synthetic_generator,true,pago_rechazado,v0.1,train
S000018,El comprobante tiene información equivocada,El comprobante fue emitido con datos antiguos y necesito corregir la dirección fiscal. Esto sucede en más de un dispositivo.,pagos_facturacion,synthetic_generator,true,factura_incorrecta,v0.1,train
S000019,La página tarda demasiado,"El panel principal termina cargando, pero demora más de un minuto en mostrar la información. Necesito continuar con el proceso cuanto antes.",rendimiento,synthetic_generator,true,carga_lenta,v0.1,train
S000021,Necesito conocer el horario de ayuda,Quisiera saber si el soporte atiende por la noche. Necesito continuar con el proceso cuanto antes.,consulta_general,synthetic_generator,true,horarios_soporte,v0.1,train
S000022,Quiero saber si existe esta opción,Quiero confirmar si la plataforma permite la descarga de facturas.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000024,El sistema se cierra al editar,"Puedo entrar normalmente, pero la aplicación falla al confirmar una operación. Antes funcionaba con normalidad.",error_tecnico,synthetic_generator,true,cierre_inesperado,v0.1,train
S000025,Quiero saber si existe esta opción,Necesito saber dónde se encuentra la descarga de facturas o si todavía no está habilitada. Antes funcionaba con normalidad.,consulta_general,synthetic_generator,true,disponibilidad_funcion,v0.1,train
S000026,Mi cuenta quedó bloqueada,"La plataforma informa que mi usuario está bloqueado, incluso después de esperar todo el día. El problema también fue confirmado por otro usuario.",acceso_autenticacion,synthetic_generator,true,cuenta_bloqueada,v0.1,train
